Student_ID,Name,Attendance(%),Assignments_Completed,Disciplinary_Record,Average_Score,Eligible_For_Exam
1001,Student_1001,78,6,0,77,1
1002,Student_1002,91,2,0,92,0
1003,Student_1003,68,5,0,45,0
1004,Student_1004,54,1,0,97,0
1005,Student_1005,82,9,1,83,0
1006,Student_1006,47,8,1,84,0
1007,Student_1007,60,4,0,71,0
1008,Student_1008,78,5,0,84,0
1009,Student_1009,97,3,0,86,0
1010,Student_1010,58,9,0,60,0
1011,Student_1011,62,6,0,55,0
1012,Student_1012,50,8,0,93,0
1013,Student_1013,50,6,1,60,0
1014,Student_1014,63,0,0,50,0
1015,Student_1015,92,0,0,99,0
1016,Student_1016,75,8,0,76,1
1017,Student_1017,79,8,0,75,1
1018,Student_1018,63,3,0,74,0
1019,Student_1019,42,8,0,58,0
1020,Student_1020,61,2,0,59,0
1021,Student_1021,92,6,0,96,1
1022,Student_1022,41,5,0,57,0
1023,Student_1023,63,7,0,86,0
1024,Student_1024,83,8,0,80,1
1025,Student_1025,69,4,0,88,0
1026,Student_1026,77,0,0,53,0
1027,Student_1027,41,2,0,54,0
1028,Student_1028,99,9,0,70,1
1029,Student_1029,60,7,0,40,0
1030,Student_1030,72,5,0,92,0
1031,Student_1031,51,7,0,93,0
1032,Student_1032,97,8,0,93,1
1033,Student_1033,61,3,0,42,0
1034,Student_1034,83,0,0,55,0
1035,Student_1035,64,0,0,62,0
1036,Student_1036,88,9,0,96,1
1037,Student_1037,66,3,0,50,0
1038,Student_1038,98,6,1,51,0
1039,Student_1039,81,1,0,49,0
1040,Student_1040,67,2,0,71,0
1041,Student_1041,99,0,0,55,0
1042,Student_1042,55,4,0,47,0
1043,Student_1043,54,0,0,77,0
1044,Student_1044,86,7,0,51,1
1045,Student_1045,90,0,0,63,0
1046,Student_1046,83,0,1,67,0
1047,Student_1047,94,1,0,92,0
1048,Student_1048,91,1,0,47,0
1049,Student_1049,96,5,0,97,0
1050,Student_1050,42,6,0,67,0
1051,Student_1051,76,4,0,75,0
1052,Student_1052,90,0,0,65,0
1053,Student_1053,46,0,0,47,0
1054,Student_1054,60,2,0,97,0
1055,Student_1055,48,1,0,99,0
1056,Student_1056,78,4,0,89,0
1057,Student_1057,57,9,1,67,0
1058,Student_1058,43,5,0,67,0
